Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Wofford,97.8083779093,96.9381035862,99.3187033394,100.912894586,98.2536441961,98.6268707568,98.2793555566,98.8493085173,100.507893921,99.615087854,99.1139838452,98.2837168637
Alcorn St,84.2364068039,92.673081298,95.3693809604,98.6596643197,96.1857464288,101.141061035,99.537275323,100.922899411,95.4566445489,98.6541667903,99.3923660177,98.5695981993
Air Force,91.9550044978,93.5911032368,99.3846740044,98.946583612,100.403081465,98.3799957419,98.3051272781,100.055368775,99.8801700995,99.7359002937,100.761228547,101.506272568
Appalachian St,93.8617946996,98.9448098163,95.615893872,100.548376684,99.3217179588,100.827211729,99.8696273182,101.444803396,99.4399660718,99.355119676,100.902373334,97.0466108285
Akron,106.593488827,101.278881244,103.370375853,103.194606934,100.0752434,99.9682888987,100.673920264,98.5647460963,100.828758866,99.5525707628,98.5511651044,101.219652692
Arizona St,108.448266969,103.844249518,101.967808224,100.8322224,101.337318832,100.330689053,99.9755094585,99.1135859942,100.191642038,99.597032095,101.416597183,100.792195538
Arizona,116.382163829,106.292949757,105.479789611,99.2333473269,103.223140346,99.7176932248,101.004232047,100.28240696,101.617660909,99.2306576251,102.503246633,104.476558501
Ark Pine Bluff,82.9590984646,85.7908582793,98.232557687,99.285259165,96.3248636195,99.4163212497,99.8701273968,101.941823597,96.9955822843,101.173100976,95.8707584914,95.4215257259
Ark Little Rock,108.192441477,96.2628735717,110.556588747,99.5802509722,99.5320494511,99.3312214943,99.8833724496,97.238011069,99.3598580308,100.304348336,97.8072064857,102.247517088
Colgate,94.5198594334,95.6228918496,98.5072085527,100.9393055,97.258150331,98.9112179146,99.1690417447,100.240313195,100.126446992,99.9756666136,97.759050865,99.2245520028
Col Charleston,103.547712017,93.834144909,107.425096835,100.116084737,98.8616538888,99.8262556929,98.7932135216,100.207077267,99.0141689722,101.102600759,97.3620808253,100.436278002
Clemson,110.163576463,98.8768075462,107.630770718,100.215491251,100.729802487,100.134255405,101.632118693,98.3398607413,100.077752196,100.002303288,99.144907086,105.550160473
Citadel,86.9790536337,110.397728567,76.5493173523,103.295267561,97.8669942339,99.706741965,99.3375286849,100.978465516,101.162398477,101.852852862,99.7549631579,92.6289627363
Coastal Car,99.846385767,96.9497793171,101.706811483,100.185464854,100.90796752,100.184355118,99.6755019651,99.8324736833,98.9233791451,99.6034534261,98.4170516463,100.581464969
Cleveland St,92.0645719931,90.107530314,102.220360881,98.6992806031,97.3141361657,100.200917264,98.9777983999,100.702305612,98.1008708063,100.46338972,96.0160089511,98.9609541976
Chattanooga,107.436503644,99.9565557324,103.197326934,100.691435925,99.2668975042,100.059292499,100.754078536,99.0952733796,100.803927191,101.634330799,99.9624023955,102.487815083
Charlotte,96.0181951128,100.896529069,94.8205498791,100.55049176,99.0199836978,100.54893457,99.2010659708,99.0026900457,100.348016503,99.9818198125,99.6057655444,102.475944168
Cincinnati,114.665769714,101.265956801,107.427897618,100.521075959,100.370379676,102.401682953,101.745083506,98.8541271151,101.788785634,101.443713391,97.7942709391,104.835138098
Chicago St,84.4251276595,94.1525418456,94.3045109268,100.555087796,97.879732444,100.37710853,99.9169076188,100.740679549,98.3901558927,100.746231818,97.1860879048,97.3422197498
Army,96.1973211462,101.394873846,94.289871409,102.187768844,101.072930632,100.283314526,99.5149259437,100.352254117,101.474104606,98.9808426691,97.9135482562,99.968682379
N Kentucky,95.0138103618,96.7466482225,99.7037343482,100.00968842,100.185602712,99.2869924571,99.1528046694,100.19947217,100.126707719,99.0914585798,96.397835799,98.4103633124
ULL,105.067991039,105.9629743,97.6521900091,99.2334748169,100.8869031,102.6331716,100.142752555,100.243517297,99.7298272745,101.159247506,103.22615441,99.5148464144
ULM,99.9131147384,95.6639918107,103.188192935,98.8744441309,99.916144829,99.8168140108,99.4979325888,98.7227168239,99.7731500776,99.469353873,96.3710357849,102.398358269
N Colorado,88.7915789125,99.2842128237,91.444574037,99.4945610626,98.9447691778,98.9525222425,99.2142943229,100.90266641,97.1568767665,99.0642757758,101.838000423,95.6812821968
UTRGV,83.3496833671,94.0802073195,91.7968702624,99.642963092,98.845601277,98.1942393567,99.4931896337,99.2624205684,100.33701178,98.8473841097,96.8119448867,102.345521565
TX Southern,98.1714739214,98.3424893284,98.343632289,99.4316368929,99.3247066093,101.216754026,99.8122048886,99.9665843674,100.155996902,98.621010802,98.821234209,105.858711074
UAB,103.17015236,100.065329026,101.119481137,99.7624357406,100.615161227,100.267819093,102.28427284,100.171189864,103.006218523,100.110504428,98.5232376369,101.865636011
UC Davis,94.8589979924,92.1863302025,103.159760037,98.3005534058,99.9464348306,98.5865377364,98.0744083279,101.256118428,97.1708633548,99.8282599102,98.4168928992,103.24429983
UC Irvine,105.777756369,97.7015611555,106.476653365,98.7366454121,102.473774423,99.8556683894,101.24220881,99.9509105963,100.863219823,99.9618140579,100.73666036,100.351767457
UC Riverside,95.6068379139,96.5241886911,99.6360388141,100.209264684,99.6513438789,99.4942712932,99.5136784255,100.529318324,98.8146367551,99.5121399388,98.34993093,101.635449924
UCF,100.514210386,99.9843162381,100.134319111,99.761515215,101.928167717,99.3869205424,100.422349172,101.306646549,99.0579410971,98.6177412472,100.933253886,104.42514151
