Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Villanova,98,72,80,27,67,59,39,45,26,53,62,48,97
Virginia,92,40,97,16,47,56,35,66,7,54,44,19,86
Virginia Tech,73,70,56,32,67,57,23,39,41,56,12,70,77
VMI,26,35,28,56,67,31,48,50,49,28,43,23,34
W Carolina,28,12,47,47,32,36,69,24,75,25,42,16,23
W Illinois,29,29,38,38,61,58,19,62,52,29,16,31,31
WKU,41,37,44,31,43,52,44,47,48,39,16,54,81
W Michigan,51,53,41,52,41,40,63,37,51,39,31,55,55
Wagner,39,20,57,37,35,35,85,38,56,13,18,37,43
Wake Forest,79,87,47,55,61,73,60,60,41,71,39,89,45
Washington,49,61,35,62,44,57,76,83,69,37,43,62,49
Washington St,48,44,46,30,40,64,14,37,52,49,15,26,75
Weber St,48,48,44,16,57,40,16,39,43,36,24,60,67
West Virginia,94,86,70,78,53,39,89,70,36,74,97,86,40
WI Green Bay,49,58,36,66,36,74,67,46,64,42,55,79,53
WI Milwaukee,35,18,52,21,58,29,32,2,38,41,17,15,72
Wichita St,88,80,67,60,62,76,66,50,33,72,55,68,54
William & Mary,54,67,32,48,66,70,41,62,53,71,27,64,48
Winthrop,59,61,45,50,75,62,45,76,54,34,41,59,45
Wisconsin,83,50,82,39,46,58,68,53,28,45,57,50,89
Wofford,54,53,45,45,70,39,45,15,33,60,33,34,42
Wright St,50,51,42,39,68,45,50,18,70,51,29,58,49
Wyoming,55,61,39,51,70,87,38,66,64,51,27,77,35
Xavier,75,67,59,44,49,70,72,40,44,61,48,79,61
Yale,54,50,49,39,49,57,54,53,68,59,32,47,67
Youngstown St,31,52,22,78,52,55,54,31,35,53,33,27,62
